BRD4
CHD4
SUZ12
CDC6
CHD3
ORC1
FUS
MCM4
AURKB
MRPS14
RPL26L1
RPS13
RPS23
BRD2
CHD5
KDM2A
SUV420H1
SUV420H2
KAT7
SETD8
MSH3
ERCC3
MARCKS
CDCA2
CDCA5
CDCA7L
ATAD2B
NUDT21
KIF22
RPS25
VDAC3
CPSF7
DIEXF
POLR1E
XIRP2
ZFP91
ARHGAP11A
CCDC137
KLHL15
OR10G3
